time,odd,even,agg
0.0,3.3226106813050893,2.5331400930957324,3.3226106813050893
0.0001,4.050351753379552,2.4343211393951916,4.050351753379552
0.0002,4.664588240224279,2.3756840787717386,4.664588240224279
0.0003,5.11814617412044,2.364759226278327,5.11814617412044
0.0004,5.279666614629376,2.404749379066108,5.279666614629376
0.0005,5.4668479205878215,2.494656996242186,5.4668479205878215
0.0006,5.455130443155874,2.632116925183884,5.455130443155874
0.0007,5.4312926927601195,2.816236415444032,5.4312926927601195
0.0008,5.280813936747726,3.0499632712758746,5.280813936747726
0.0009,5.069726880165228,3.3395867174306986,5.069726880165228
0.001,4.864207075803952,3.6937553345834093,4.864207075803952
0.0011,4.6173027675643965,4.121017574253977,4.6173027675643965
0.0012,4.366132492981697,4.627469384120157,4.366132492981697
0.0013,4.117045398375111,5.215569873736446,4.117045398375111
0.0014,3.8765379046217956,5.883343942605691,3.8765379046217956
0.0015,3.659668680300629,6.6243831209901884,3.659668680300629
0.0016,3.378699133326879,7.428269586977151,3.378699133326879
0.0017,3.1622551901620213,8.281315949523862,3.1622551901620213
0.0018,2.97601231514859,9.167260637526368,2.97601231514859
0.0019,2.840907136204951,10.068105220434447,2.840907136204951
0.002,2.608361433110965,10.96435936918035,2.608361433110965
0.0021,2.412350062128252,11.835600774555253,2.412350062128252
0.0022,2.2194638614113154,12.661049623363242,2.2194638614113154
0.0023,2.0301649516128855,13.420478033154241,2.0301649516128855
0.0024,1.8183404213893266,14.096398013991752,1.8183404213893266
0.0025,1.6606673339569669,14.66965761371369,1.6606673339569669
0.0026,1.4889864820998833,15.121087390798662,1.4889864820998833
0.0027,1.3394223462943127,15.435000393509666,1.3394223462943127
0.0028,1.2358064939819897,15.59742643675091,1.2358064939819897
0.0029,1.1160063625015448,15.59909945826375,1.1160063625015448
0.003,1.060131751800173,15.432679176728364,1.060131751800173
0.0031,1.0368899003447398,15.09572172244835,1.0368899003447398
0.0032,1.0990350820771027,14.589118938434856,1.0990350820771027
0.0033,1.1751625996990238,13.919415915350037,1.1751625996990238
0.0034,1.3389195105677862,13.100014086668917,1.3389195105677862
0.0035,1.5144678922938566,12.153248210752727,1.5144678922938566
0.0036,1.7313157523139722,11.116324002574453,1.7313157523139722
0.0037,1.9051545562663892,10.04923919261997,1.9051545562663892
0.0038,2.1050436512159556,9.046193305880001,2.1050436512159556
0.0039,2.3152226822756807,8.248194564527275,2.3152226822756807
0.004,2.517520384695023,7.837544849879655,2.517520384695023
0.0041,2.8456924457395445,7.979592873956816,2.8456924457395445
0.0042,3.072334517248236,8.724093873423033,3.072334517248236
