H,Z
18.12,19.31985
18.16,19.404181
18.2,19.488931
18.24,19.574105
18.28,19.659705
18.32,19.745738
18.36,19.832206
18.4,19.919114
18.44,20.006466
18.52,20.182522
18.6,20.360409
18.68,20.540163
18.76,20.721823
18.84,20.905426
18.92,21.091011
18.96,21.18456
19.0,21.279704
19.04,21.374281
19.08,21.46938
19.12,21.565005
19.16,21.661162
19.2,21.757857
19.24,21.855095
19.28,21.952882
19.32,22.051223
19.36,22.150125
19.4,22.249592
19.44,22.349631
19.52,22.551449
19.6,22.755627
19.68,22.962216
19.76,23.171268
19.84,23.382835
19.92,23.596973
19.96,23.705023
20.0,23.814861
20.04,23.924248
20.08,24.034314
20.12,24.145066
20.16,24.256512
20.2,24.368659
20.24,24.481515
20.28,24.595089
20.32,24.709389
20.36,24.824422
20.4,24.940198
20.44,25.056724
20.52,25.292063
20.6,25.530512
20.68,25.772142
20.76,26.017031
20.84,26.265257
20.92,26.516902
20.96,26.644033
21.0,26.773222
21.04,26.902139
21.08,27.031966
21.12,27.162713
21.16,27.294392
21.2,27.427016
21.24,27.560596
21.28,27.695146
21.32,27.830678
21.36,27.967205
21.4,28.104741
21.44,28.243299
21.52,28.523538
21.6,28.808039
21.68,29.096925
21.76,29.390325
21.84,29.688376
21.92,29.991226
21.96,30.144497
22.0,30.300247
22.04,30.456059
22.08,30.613174
22.12,30.771614
22.16,30.931403
22.2,31.092567
22.24,31.255133
22.28,31.419128
22.32,31.584582
22.36,31.751527
22.4,31.919994
22.44,32.09002
22.48,32.261643
22.52,32.434903
22.56,32.609844
22.6,32.786514
22.64,32.964965
22.68,33.145254
22.72,33.327445
22.76,33.511608
22.8,33.697822
22.84,33.886175
22.88,34.07677
22.92,34.269722
22.96,34.465167
23.0,34.664391
23.04,34.865297
23.08,35.069255
23.12,35.276531
23.16,35.487449
23.2,35.702409
23.24,35.921903
23.28,36.146551
23.32,36.377127
23.36,36.614597
23.4,36.860133
23.44,37.115052
23.48,37.380498
23.52,37.656313
23.56,37.937468
23.6,38.203511
23.64,38.392571
23.68,38.376635
23.72,38.09846
23.76,37.844943
23.8,37.868829
23.84,38.087096
23.88,38.376013
23.92,38.679806
23.96,38.980857
24.0,39.278259
24.04,39.565768
24.08,39.848403
24.12,40.127495
24.16,40.404221
24.2,40.67955
24.24,40.954266
24.28,41.228997
24.32,41.504254
24.36,41.780454
24.4,42.057941
24.44,42.337006
24.48,42.617896
24.52,42.900824
24.56,43.185978
24.6,43.473526
24.64,43.763618
24.68,44.056392
24.72,44.351976
24.76,44.650491
24.8,44.952049
24.84,45.256761
24.88,45.56473
24.92,45.876059
24.96,46.190848
25.0,46.510464
25.04,46.832461
25.08,47.158211
25.12,47.487813
25.16,47.821364
25.2,48.158963
25.24,48.500708
25.28,48.846702
25.32,49.197047
25.36,49.551846
25.4,49.911207
25.44,50.275236
25.48,50.644046
25.52,51.017749
25.56,51.396461
25.6,51.780301
25.68,52.563857
25.72,52.963827
25.76,53.369434
25.8,53.780813
25.84,54.198105
25.88,54.621455
25.92,55.051011
25.96,55.486928
26.0,55.930295
26.04,56.379388
26.08,56.83533
26.12,57.298298
26.16,57.768471
26.24,58.731186
26.28,59.224122
26.32,59.725049
26.36,60.234183
26.4,60.751746
26.44,61.277968
26.48,61.813088
26.52,62.357354
