freq,power
0.0,0.40682822639594013
0.01999624070674713,0.015983790969757446
0.03999248141349426,0.004230039931835943
0.059988722120241394,0.001962696265985205
0.07998496282698853,0.0011346695681424925
0.09998120353373566,0.0007524164215673215
0.11997744424048279,0.0005398658686487644
0.13997368494722992,0.0004077218891672652
0.15996992565397705,0.0003132942902481141
0.17996616636072418,0.0002566386228009942
0.19996240706747131,0.0002083999273412511
0.21995864777421845,0.00017484433510511126
0.23995488848096558,0.00015094996784930747
0.2599511291877127,0.0001313270828802624
0.27994736989445984,0.00011660495765330476
0.29994361060120694,0.00010195945215189679
0.3199398513079541,9.416240644127407e-5
0.3399360920147012,8.6768104675678e-5
0.35993233272144837,8.094204480290544e-5
0.37992857342819547,7.717406858369607e-5
0.39992481413494263,7.685311472703723e-5
0.41992105484168973,7.24313035171492e-5
0.4399172955484369,7.14787292069471e-5
0.459913536255184,6.751353325852836e-5
0.47990977696193116,6.624647609779312e-5
0.49990601766867826,6.796060659109754e-5
0.5199022583754254,6.683488424665341e-5
0.5398984990821725,6.739702913061565e-5
0.5598947397889197,6.430058336208656e-5
0.5798909804956668,6.668544686594484e-5
0.5998872212024139,6.505372111481297e-5
0.619883461909161,6.435173928530815e-5
0.6398797026159082,7.059858949725558e-5
0.6598759433226553,7.474372205593471e-5
0.6798721840294024,7.99157299549473e-5
0.6998684247361495,9.016187459970624e-5
0.7198646654428967,9.767504019539785e-5
0.7398609061496438,0.00010846510921622101
0.7598571468563909,0.00012274237002689968
0.779853387563138,0.00013974769330491878
0.7998496282698853,0.00016046711416533863
0.8198458689766324,0.00018428902950812248
0.8398421096833795,0.0002211827145603069
0.8598383503901266,0.0002633991430183194
0.8798345910968738,0.0003415062038881157
0.8998308318036209,0.0004651591916642114
0.919827072510368,0.0006896252676501658
0.9398233132171151,0.0011908461144224756
0.9598195539238623,0.0026205180316210375
0.9798157946306094,0.009725715307513153
0.9998120353373565,1.0
1.0198082760441036,0.011209909116639138
1.0398045167508507,0.0028346158338465677
1.0598007574575978,0.001252180976973415
1.079796998164345,0.0006887766106869394
1.0997932388710923,0.00043199388340516573
1.1197894795778394,0.0002897017756540887
1.1397857202845865,0.00020637007619638716
1.1597819609913336,0.00015438039986508367
1.1797782016980807,0.00011540024542514219
1.1997744424048278,9.457662368586975e-5
1.2197706831115749,7.852818016798641e-5
1.239766923818322,6.766789977039228e-5
1.2597631645250693,5.8816546025093874e-5
1.2797594052318164,5.4094889275721455e-5
1.2997556459385635,4.890427441848352e-5
1.3197518866453106,4.478364441136238e-5
1.3397481273520577,4.224790302498605e-5
1.3597443680588048,3.7072924147254944e-5
1.379740608765552,3.46230106343842e-5
1.399736849472299,3.226705044130089e-5
1.4197330901790464,2.953805166855252e-5
1.4397293308857935,2.61576286369947e-5
1.4597255715925406,2.4495920721217887e-5
1.4797218122992877,2.2727481986647016e-5
1.4997180530060348,2.0728499856783595e-5
1.5197142937127819,2.0516094544591416e-5
1.539710534419529,2.0369798144749183e-5
1.559706775126276,2.0785737291078506e-5
1.5797030158330232,2.2216547502251003e-5
1.5996992565397705,2.3393177614594078e-5
1.6196954972465176,2.382151068836501e-5
1.6396917379532647,2.4474187026148884e-5
1.6596879786600118,2.5391043464285124e-5
1.679684219366759,2.686151286240531e-5
1.699680460073506,2.867277763746144e-5
1.7196767007802531,2.798966621665918e-5
1.7396729414870002,2.8887863694148847e-5
1.7596691821937476,3.0114014550604946e-5
1.7796654229004947,3.355956700391466e-5
1.7996616636072418,3.4513728338780956e-5
1.8196579043139889,4.039957793282975e-5
1.839654145020736,4.859236254428524e-5
1.859650385727483,6.138003492238502e-5
1.8796466264342302,7.972486669039107e-5
1.8996428671409773,0.00011071020278618315
1.9196391078477246,0.000172840479308999
1.9396353485544717,0.0003046652244956657
1.9596315892612188,0.000646083738928664
1.979627829967966,0.0022787099482562737
1.999624070674713,0.19427241060429973
2.0196203113814604,0.0026662162963134984
2.0396165520882072,0.0005775367188231852
2.0596127927949546,0.00023072854046276775
2.0796090335017015,0.00011551211729134489
2.099605274208449,6.735473705382128e-5
2.1196015149151957,4.3772976526173394e-5
2.139597755621943,3.0121913451515266e-5
2.15959399632869,2.136133655896751e-5
2.179590237035437,1.7837950128664905e-5
2.1995864777421845,1.4930118392168029e-5
2.2195827184489314,1.3093042692619908e-5
2.2395789591556787,1.0944408136518092e-5
2.2595751998624256,9.480999115687396e-6
2.279571440569173,8.5497647244671e-6
2.29956768127592,7.406699371057639e-6
2.319563921982667,6.518519584717229e-6
2.3395601626894145,5.665058080558259e-6
2.3595564033961614,4.712061482984859e-6
2.3795526441029087,4.138976229077213e-6
2.3995488848096556,3.3721811271715935e-6
2.419545125516403,2.3932659217030856e-6
2.4395413662231498,2.2763855920840873e-6
2.459537606929897,1.8918639872627688e-6
2.479533847636644,1.9084654844932817e-6
2.4995300883433913,1.932834740563646e-6
2.5195263290501386,2.2064601144747157e-6
2.5395225697568855,2.158505119380504e-6
2.559518810463633,2.3082724867393203e-6
2.5795150511703797,2.0675523972623082e-6
2.599511291877127,2.323426494520285e-6
2.619507532583874,2.3485435209219453e-6
2.6395037732906212,2.2656397369662928e-6
2.659500013997368,1.8621497433790143e-6
2.6794962547041155,1.8067760457452927e-6
2.699492495410863,1.5363273300851391e-6
2.7194887361176097,1.8184228772450683e-6
2.739484976824357,1.1237500918605038e-6
2.759481217531104,1.5463738757846008e-6
2.779477458237851,1.4334992946459351e-6
2.799473698944598,1.4648728028755648e-6
2.8194699396513454,1.9064641887112597e-6
2.8394661803580927,2.7343138972714234e-6
2.8594624210648396,3.7552955225614815e-6
2.879458661771587,4.937597409184671e-6
2.899454902478334,7.058375495339865e-6
2.919451143185081,1.0333115070840322e-5
2.939447383891828,1.7677550386310543e-5
2.9594436245985754,3.8274798669613056e-5
2.9794398653053222,0.00012320010633953233
2.9994361060120696,0.013805719918167442
3.019432346718817,8.562396273688495e-5
3.0394285874255638,1.5114041449663856e-5
3.059424828132311,5.6008529602479855e-6
3.079421068839058,2.2957249066628484e-6
3.0994173095458053,1.545173718496848e-6
3.119413550252552,1.0175638914832336e-6
3.1394097909592995,8.83618594584088e-7
3.1594060316660464,5.579894433642944e-7
3.1794022723727937,6.357526039035127e-7
3.199398513079541,5.827482756053058e-7
3.219394753786288,5.517503716291755e-7
3.2393909944930352,3.621639645677405e-7
3.259387235199782,3.7097072678447144e-7
3.2793834759065295,2.1695193990261995e-7
3.2993797166132763,1.752090166697406e-7
3.3193759573200237,1.7008757089974977e-7
3.339372198026771,1.201245695855813e-7
3.359368438733518,9.218099606229667e-8
3.379364679440265,6.762469636963885e-8
3.399360920147012,7.58582820902947e-8
3.4193571608537594,5.321849404363593e-8
3.4393534015605063,6.677302957301562e-8
3.4593496422672536,5.223264273356081e-8
3.4793458829740005,2.9485035140153407e-8
3.499342123680748,8.368859315724646e-8
3.519338364387495,6.029587012666522e-8
3.539334605094242,8.354302563881013e-8
3.5593308458009894,4.0480844528311906e-8
3.5793270865077362,9.492719207199508e-8
3.5993233272144836,1.7642320655744543e-7
3.6193195679212304,1.1287382160629853e-7
3.6393158086279778,1.4648729395144004e-7
3.6593120493347246,2.0256343125604749e-7
3.679308290041472,1.6141819821186086e-7
3.6993045307482193,1.4076379595462291e-7
3.719300771454966,1.225638581910078e-7
3.7392970121617135,5.571556237695031e-8
3.7592932528684604,9.589782713682147e-8
3.7792894935752077,6.325489664357164e-8
3.7992857342819546,1.733001372941428e-7
3.819281974988702,2.603421078238968e-7
3.8392782156954492,4.280841312381232e-7
3.859274456402196,6.745612199781576e-7
3.8792706971089435,1.1207264144639515e-6
3.8992669378156903,1.7574554357833538e-6
3.9192631785224377,2.5908011836051436e-6
3.9392594192291845,4.848832669135479e-6
3.959255659935932,9.22985720467096e-6
