time,odd,even,agg
0.0,0.10537184396304089,0.08056122445324475,0.10537184396304089
0.0001,0.10563028205178286,0.06759275976520496,0.10563028205178286
0.0002,0.10597638615715055,0.04916494294199282,0.10597638615715055
0.0003,0.10640026571960502,0.025291023672063546,0.10640026571960502
0.0004,0.10687378158357892,0.010074108885260079,0.10687378158357892
0.0005,0.1073876659957758,0.04257903589265749,0.1073876659957758
0.0006,0.10792284591718082,0.08225676498599832,0.10792284591718082
0.0007,0.10846640090760032,0.12628321034735254,0.10846640090760032
0.0008,0.10900185281111595,0.17336525451592116,0.10900185281111595
0.0009,0.10951902765179417,0.22352338315858908,0.10951902765179417
0.001,0.11001414445986898,0.2750991272842836,0.11001414445986898
0.0011,0.11048602581752391,0.32758440259613114,0.11048602581752391
0.0012,0.11093060574977302,0.3800721218410836,0.11093060574977302
0.0013,0.1113494311889284,0.43113177645477213,0.1113494311889284
0.0014,0.11174120680003577,0.4801259916446079,0.11174120680003577
0.0015,0.11210964151615123,0.5260235837578642,0.11210964151615123
0.0016,0.11244977799436338,0.5680820737396112,0.11244977799436338
0.0017,0.11276544764819091,0.6055398692012226,0.11276544764819091
0.0018,0.11305851927207884,0.6376813748877755,0.11305851927207884
0.0019,0.11333181130319032,0.6640246389769862,0.11333181130319032
0.002,0.11358715250475061,0.6840581499616462,0.11358715250475061
0.0021,0.11382003238347273,0.6975202227196831,0.11382003238347273
0.0022,0.11402930036299286,0.7042411103226139,0.11402930036299286
0.0023,0.11421597926416266,0.7041011584477963,0.11421597926416266
0.0024,0.11438048252969901,0.6971612604119821,0.11438048252969901
0.0025,0.11452522143008231,0.6836603425954441,0.11452522143008231
0.0026,0.11465252326297334,0.6641438511286573,0.11465252326297334
0.0027,0.11475899922563962,0.6393362401183879,0.11475899922563962
0.0028,0.11484499809099807,0.6103998678795441,0.11484499809099807
0.0029,0.11491152854762035,0.5783088410923612,0.11491152854762035
0.003,0.1149540325329891,0.5447576076636989,0.1149540325329891
0.0031,0.11497031035777223,0.5114802134822735,0.11497031035777223
0.0032,0.1149622781777742,0.48082366044311625,0.1149622781777742
0.0033,0.11493040474115922,0.45544811488769693,0.11493040474115922
0.0034,0.11487457883100138,0.4383166760704061,0.11487457883100138
0.0035,0.11480026505271937,0.4322639224357596,0.11480026505271937
0.0036,0.11470730433343766,0.43920177709419495,0.11470730433343766
0.0037,0.11459204322860009,0.459188443949541,0.11459204322860009
0.0038,0.1144534382645509,0.49059080955233536,0.1144534382645509
0.0039,0.11429114233673576,0.5308872431450423,0.11429114233673576
0.004,0.11410542769678733,0.5772748351695907,0.11410542769678733
0.0041,0.11389911007998174,0.6268176869460257,0.11389911007998174
0.0042,0.113655974091763,0.6771560001605569,0.113655974091763
0.0043,0.11338467168353251,0.725967996880078,0.11338467168353251
0.0044,0.11308191758536937,0.7720877210254007,0.11308191758536937
0.0045,0.11275438924115158,0.8138089048156374,0.11275438924115158
0.0046,0.11240357832795875,0.8502980463711477,0.11240357832795875
0.0047,0.11202396060105459,0.880462590353084,0.11202396060105459
0.0048,0.1116105623119844,0.9037287787604373,0.1116105623119844
0.0049,0.11117389709482564,0.9196370131579557,0.11117389709482564
0.005,0.11071419341294497,0.9279337214035814,0.11071419341294497
0.0051,0.11023139043805652,0.9285065298211558,0.11023139043805652
0.0052,0.10972537501581951,0.921367454282875,0.10972537501581951
0.0053,0.10919670253119992,0.9068691772959687,0.10919670253119992
0.0054,0.1086491966302359,0.8855093078945236,0.1086491966302359
0.0055,0.10809238306099925,0.8578369897891357,0.10809238306099925
0.0056,0.10754262627801948,0.8247015145784937,0.10754262627801948
0.0057,0.1068446152072712,0.7867939868170631,0.1068446152072712
0.0058,0.10610022092684937,0.7454495939246113,0.10610022092684937
0.0059,0.10515335830315795,0.70184218263739,0.10515335830315795
0.006,0.10390025485249907,0.6570767254937221,0.10390025485249907
0.0061,0.10261313837293946,0.613126462803641,0.10261313837293946
0.0062,0.101278448272327,0.5713350628728808,0.101278448272327
0.0063,0.09989474632835679,0.5333403462836416,0.09989474632835679
0.0064,0.0984865532449539,0.5009255405084456,0.0984865532449539
0.0065,0.0970578802062665,0.4753394754315594,0.0970578802062665
0.0066,0.09561260661266073,0.45742117931570453,0.09561260661266073
0.0067,0.09414695543711873,0.44731246216737675,0.09414695543711873
0.0068,0.09266505860198242,0.4443395888003274,0.09266505860198242
0.0069,0.09116575194162065,0.4472919276340938,0.09116575194162065
0.007,0.08964921502291959,0.4543539958294841,0.08964921502291959
0.0071,0.08812442180843452,0.4639044029002467,0.08812442180843452
0.0072,0.08658981851925582,0.4743674825210783,0.08658981851925582
0.0073,0.08505204673385679,0.4841215753209639,0.08505204673385679
0.0074,0.08348123381179237,0.49230440197600245,0.08348123381179237
0.0075,0.0818890785221552,0.4979379770058573,0.0818890785221552
0.0076,0.08028246037432767,0.5003769488774561,0.08028246037432767
0.0077,0.07865830083068026,0.49913145791766134,0.07865830083068026
0.0078,0.07701853648901262,0.4940229700095737,0.07701853648901262
0.0079,0.07536784929473929,0.4850711602925721,0.07536784929473929
0.008,0.07370104191788568,0.47236813999366034,0.07370104191788568
0.0081,0.07201695484894338,0.45609046747555876,0.07201695484894338
0.0082,0.07031406901094496,0.43645103011758474,0.07031406901094496
0.0083,0.06860228978161219,0.4141286726134142,0.06860228978161219
0.0084,0.06688107064028323,0.38911767687267873,0.06688107064028323
0.0085,0.06514163982123965,0.362327916704735,0.06514163982123965
0.0086,0.06338893396372512,0.33431045699672257,0.06338893396372512
0.0087,0.06161952204308354,0.30515054622863347,0.06161952204308354
0.0088,0.059836940451168705,0.2749508068571056,0.059836940451168705
0.0089,0.05803786338732828,0.24584377459591392,0.05803786338732828
0.009,0.056216837972943454,0.21645114768578644,0.056216837972943454
0.0091,0.054373411297838806,0.186650266887414,0.054373411297838806
0.0092,0.05249756025707418,0.15627249529841883,0.05249756025707418
